identifiant;nom;prenom;sexe;adresse;club;annee_naissance;licence
141;RAMOS;BARRY;M;Melesse;;1990;
142;REYES;ALEXANDER;M;Bruz;;1991;
143;BURNS;BERNARD;M;Saint Malo;;1992;
144;GORDON;MARIO;M;Dinard;;1993;
145;SHAW;LEROY;M;Angers;;1994;
146;HOLMES;FRANCISCO;M;Brest;;1995;
147;RICE;MARCUS;M;Nantes;;1996;
148;ROBERTSON;MICHEAL;M;Pace;;1997;
149;HUNT;THEODORE;M;Vern;;1998;
150;BLACK;CLIFFORD;M;Mordelles;;1999;
151;DANIELS;MIGUEL;M;Saint Brieuc;;2000;
152;PALMER;OSCAR;M;Paris;Racing club;1996;255292
153;MILLS;JAY;M;Chantepie;;1997;
154;NICHOLS;JIM;M;Cesson Sevigne;;1998;
155;GRANT;TOM;M;Thorigne;;1999;
156;KNIGHT;CALVIN;M;Vezin;;2000;
157;FERGUSON;ALEX;M;Le Rheu;;1963;
158;ROSE;JON;M;Fougeres;;1965;
159;STONE;RONNIE;M;Dinan;;1969;
160;HAWKINS;BILL;M;Pont Pean;;1961;
161;DUNN;LLOYD;M;Pont Rean;;1951;
162;PERKINS;TOMMY;M;Chateaugiron;;1955;
163;HUDSON;LEON;M;Rennes;EARTA;1957;255303
164;SPENCER;DEREK;M;Cesson Sevigne;;1947;
165;GARDNER;WARREN;M;Rennes;;1970;
166;STEPHENS;DARRELL;M;Romille;;1971;
167;PAYNE;JEROME;M;Chateaubourg;;1972;
168;PIERCE;FLOYD;M;Nantes;;1973;
169;BERRY;LEO;M;Paris;;1974;
170;MATTHEWS;ALVIN;M;Saint Brieuc;;1975;
171;ARNOLD;TIM;M;Brest;;1975;
172;WAGNER;WESLEY;M;Morlaix;;1976;
173;WILLIS;GORDON;M;Quimper;ASPTT Quimper;1976;255313
174;RAY;DEAN;M;Bruz;Bruz Athletisme;1977;255314
175;WATKINS;GREG;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1977;255315
176;OLSON;JORGE;M;Chantepie;;1978;
177;CARROLL;DUSTIN;M;Saint Erblon;;1979;
178;DUNCAN;PEDRO;M;La Meziere;Agile Talon;1980;255318
179;SNYDER;DERRICK;M;Montgermont;;1981;
180;HART;DAN;M;Bourgbarre;;1978;
181;CUNNINGHAM;LEWIS;M;Orgeres;Jogging Loisir Orgeres;1979;255321
182;BRADLEY;ZACHARY;M;Montfort;EAPB;1980;255322
183;LANE;COREY;M;Iffendic;;1981;
184;ANDREWS;HERMAN;M;Melesse;JA Melesse Athletisme;1982;255324
185;RUIZ;MAURICE;M;Bruz;;1983;
186;HARPER;VERNON;M;Saint Malo;CJF St Malo;1984;255326
187;FOX;ROBERTO;M;Dinard;;1985;
188;RILEY;CLYDE;M;Angers;Anjou Athletisme;1986;255328
189;ARMSTRONG;GLEN;M;Brest;Stade Brestois;1987;255329
190;CARPENTER;HECTOR;M;Nantes;;1988;
191;WEAVER;SHANE;M;Pace;SRA;1989;255331
192;GREENE;RICARDO;M;Vern;;1990;
193;LAWRENCE;SAM;M;Mordelles;;1982;
194;ELLIOTT;RICK;M;Saint Brieuc;ASPTT St Brieuc;1983;255334
195;CHAVEZ;LESTER;M;Paris;;1984;
196;SIMS;BRENT;M;Chantepie;;1985;
197;AUSTIN;RAMON;M;Cesson Sevigne;Athletic club cessonais;1986;255337
198;PETERS;CHARLIE;M;Thorigne;;1987;
199;KELLEY;TYLER;M;Vezin;;1988;
200;FRANKLIN;GILBERT;M;Le Rheu;;1989;
201;LAWSON;GENE;M;Fougeres;ASPTT Fougeres;1990;255341
202;FIELDS;MARC;M;Dinan;;1991;
203;GUTIERREZ;REGINALD;M;Pont Pean;;1992;
204;RYAN;RUBEN;M;Pont Rean;;1993;
205;SCHMIDT;BRETT;M;Chateaugiron;;1994;
206;CARR;ANGEL;M;Rennes;SRA;1995;255346
207;VASQUEZ;NATHANIEL;M;Cesson Sevigne;;1996;
208;CASTILLO;RAFAEL;M;Rennes;SRA;1997;255348
209;WHEELER;LESLIE;M;Romille;;1998;
210;CHAPMAN;EDGAR;M;Chateaubourg;;1999;
211;OLIVER;MILTON;M;Nantes;Nantes Metropole Athletisme;2000;255351
212;MONTGOMERY;RAUL;M;Paris;;1983;
213;RICHARDS;BEN;M;Saint Brieuc;;1984;
214;WILLIAMSON;CHESTER;M;Brest;;1985;
215;JOHNSTON;CECIL;M;Morlaix;;1986;
216;BANKS;DUANE;M;Quimper;;1987;
217;MEYER;FRANKLIN;M;Bruz;;1988;
218;BISHOP;ANDRE;M;Chartres de Bretagne;EACB;1989;255358
219;MCCOY;ELMER;M;Chantepie;;1990;
220;HOWELL;BRAD;M;Saint Erblon;;1991;
221;ALVAREZ;GABRIEL;M;La Meziere;;1992;
222;MORRISON;RON;M;Montgermont;;1993;
223;HANSEN;MITCHELL;M;Bourgbarre;;1994;
224;FERNANDEZ;ROLAND;M;Orgeres;;1995;
225;GARZA;ARNOLD;M;Montfort;;1996;
226;HARVEY;HARVEY;M;Iffendic;;1997;
227;LITTLE;JARED;M;Melesse;;1998;
228;BURTON;ADRIAN;M;Bruz;;1999;
229;STANLEY;KARL;M;Saint Malo;;2000;
230;NGUYEN;CORY;M;Dinard;;1996;
231;GEORGE;CLAUDE;M;Angers;;1997;
232;JACOBS;ERIK;M;Brest;;1998;
233;REID;DARRYL;M;Nantes;;1999;
234;KIM;JAMIE;M;Pace;;2000;
235;FULLER;NEIL;M;Vern;;1963;
236;LYNCH;JESSIE;M;Mordelles;;1965;
237;DEAN;CHRISTIAN;M;Saint Brieuc;;1969;
238;GILBERT;JAVIER;M;Paris;Racing club;1961;255378
239;GARRETT;FERNANDO;M;Chantepie;;1951;
240;ROMERO;CLINTON;M;Cesson Sevigne;;1955;
241;WELCH;TED;M;Thorigne;;1957;
242;LARSON;MATHEW;M;Vezin;;1947;
243;FRAZIER;TYRONE;M;Le Rheu;;1970;
244;BURKE;DARREN;M;Fougeres;;1971;
245;HANSON;LONNIE;M;Dinan;;1972;
246;DAY;LANCE;M;Pont Pean;;1973;
247;MENDOZA;CODY;M;Pont Rean;;1974;
248;MORENO;JULIO;M;Chateaugiron;;1975;
249;BOWMAN;KELLY;M;Rennes;EARTA;1975;255389
250;MEDINA;KURT;M;Cesson Sevigne;;1976;
251;FOWLER;ALLAN;M;Rennes;;1976;
252;BREWER;NELSON;M;Romille;;1977;
253;HOFFMAN;GUY;M;Chateaubourg;;1977;
254;CARLSON;CLAYTON;M;Nantes;;1978;
255;SILVA;HUGH;M;Paris;;1979;
256;PEARSON;MAX;M;Saint Brieuc;;1980;
257;HOLLAND;DWAYNE;M;Brest;;1981;
258;DOUGLAS;DWIGHT;M;Morlaix;;1978;
259;FLEMING;ARMANDO;M;Quimper;ASPTT Quimper;1979;255399
260;JENSEN;FELIX;M;Bruz;Bruz Athletisme;1980;255400
261;VARGAS;JIMMIE;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1981;255401
262;BYRD;EVERETT;M;Chantepie;;1982;
263;DAVIDSON;JORDAN;M;Saint Erblon;;1983;
264;HOPKINS;IAN;M;La Meziere;Agile Talon;1984;255404
265;MAY;WALLACE;M;Montgermont;;1985;
266;TERRY;KEN;M;Bourgbarre;;1986;
267;HERRERA;BOB;M;Orgeres;Jogging Loisir Orgeres;1987;255407
268;WADE;JAIME;M;Montfort;EAPB;1988;255408
269;SOTO;CASEY;M;Iffendic;;1989;
270;WALTERS;ALFREDO;M;Melesse;JA Melesse Athletisme;1990;255410
271;CURTIS;ALBERTO;M;Bruz;;1982;
272;NEAL;DAVE;M;Saint Malo;CJF St Malo;1983;255412
273;CALDWELL;IVAN;M;Dinard;;1984;
274;LOWE;JOHNNIE;M;Angers;Anjou Athletisme;1985;255414
275;JENNINGS;SIDNEY;M;Brest;Stade Brestois;1986;255415
276;BARNETT;BYRON;M;Nantes;;1987;
277;GRAVES;JULIAN;M;Pace;SRA;1988;255417
278;JIMENEZ;ISAAC;M;Vern;;1989;
279;HORTON;MORRIS;M;Mordelles;;1990;
280;SHELTON;CLIFTON;M;Saint Brieuc;ASPTT St Brieuc;1991;255420
281;BARRETT;WILLARD;M;Paris;;1992;
282;OBRIEN;DARYL;M;Chantepie;;1993;
283;CASTRO;ROSS;M;Cesson Sevigne;Athletic club cessonais;1994;255423
284;SUTTON;VIRGIL;M;Thorigne;;1995;
285;GREGORY;ANDY;M;Vezin;;1996;
286;MCKINNEY;MARSHALL;M;Le Rheu;;1997;
287;LUCAS;SALVADOR;M;Fougeres;ASPTT Fougeres;1998;255427
288;MILES;PERRY;M;Dinan;;1999;
289;CRAIG;KIRK;M;Pont Pean;;2000;
290;RODRIQUEZ;SERGIO;M;Pont Rean;;1983;
291;CHAMBERS;MARION;M;Chateaugiron;;1984;
292;HOLT;TRACY;M;Rennes;SRA;1985;255432
293;LAMBERT;SETH;M;Cesson Sevigne;;1986;
294;FLETCHER;KENT;M;Rennes;SRA;1987;255434
295;WATTS;TERRANCE;M;Romille;;1988;
296;BATES;RENE;M;Chateaubourg;;1989;
297;HALE;EDUARDO;M;Nantes;Nantes Metropole Athletisme;1990;255437
298;RHODES;TERRENCE;M;Paris;;1991;
299;PENA;ENRIQUE;M;Saint Brieuc;;1992;
300;BECK;FREDDIE;M;Brest;;1993;
301;NEWMAN;WADE;M;Morlaix;;1994;
302;HAYNES;AUSTIN;M;Quimper;;1995;
303;MCDANIEL;STUART;M;Bruz;;1996;
304;MENDEZ;FREDRICK;M;Chartres de Bretagne;EACB;1997;255444
305;BUSH;ARTURO;M;Chantepie;;1998;
306;VAUGHN;ALEJANDRO;M;Saint Erblon;;1999;
307;PARKS;JACKIE;M;La Meziere;;2000;
308;DAWSON;JOEY;M;Montgermont;;1996;
309;SANTIAGO;NICK;M;Bourgbarre;;1997;
310;NORRIS;LUTHER;M;Orgeres;;1998;
311;HARDY;WENDELL;M;Montfort;;1999;
312;LOVE;JEREMIAH;M;Iffendic;;2000;
313;STEELE;EVAN;M;Melesse;;1963;
314;CURRY;JULIUS;M;Bruz;;1965;
315;POWERS;DANA;M;Saint Malo;;1969;
316;SCHULTZ;DONNIE;M;Dinard;;1961;
317;BARKER;OTIS;M;Angers;;1951;
318;GUZMAN;SHANNON;M;Brest;;1955;
319;PAGE;TREVOR;M;Nantes;;1957;
320;MUNOZ;OLIVER;M;Pace;;1947;
321;BALL;LUKE;M;Vern;;1970;
322;KELLER;HOMER;M;Mordelles;;1971;
323;CHANDLER;GERARD;M;Saint Brieuc;;1972;
324;WEBER;DOUG;M;Paris;Racing club;1973;255464
325;LEONARD;KENNY;M;Chantepie;;1974;
326;WALSH;HUBERT;M;Cesson Sevigne;;1975;
327;LYONS;ANGELO;M;Thorigne;;1975;
328;RAMSEY;SHAUN;M;Vezin;;1976;
329;WOLFE;LYLE;M;Le Rheu;;1976;
330;SCHNEIDER;MATT;M;Fougeres;;1977;
331;MULLINS;LYNN;M;Dinan;;1977;
332;BENSON;ALFONSO;M;Pont Pean;;1978;
333;SHARP;ORLANDO;M;Pont Rean;;1979;
334;BOWEN;REX;M;Chateaugiron;;1980;
335;DANIEL;CARLTON;M;Rennes;EARTA;1981;255475
336;BARBER;ERNESTO;M;Cesson Sevigne;;1978;
337;CUMMINGS;CAMERON;M;Rennes;;1979;
338;HINES;NEAL;M;Romille;;1980;
339;BALDWIN;PABLO;M;Chateaubourg;;1981;
340;GRIFFITH;LORENZO;M;Nantes;;1982;
341;VALDEZ;OMAR;M;Paris;;1983;
342;HUBBARD;WILBUR;M;Saint Brieuc;;1984;
343;SALAZAR;BLAKE;M;Brest;;1985;
344;REEVES;GRANT;M;Morlaix;;1986;
345;WARNER;HORACE;M;Quimper;ASPTT Quimper;1987;255485
346;STEVENSON;RODERICK;M;Bruz;Bruz Athletisme;1988;255486
347;BURGESS;KERRY;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1989;255487
348;SANTOS;ABRAHAM;M;Chantepie;;1990;
349;TATE;WILLIS;M;Saint Erblon;;1982;
350;CROSS;RICKEY;M;La Meziere;Agile Talon;1983;255490
351;GARNER;JEAN;M;Montgermont;;1984;
352;MANN;IRA;M;Bourgbarre;;1985;
353;MACK;ANDRES;M;Orgeres;Jogging Loisir Orgeres;1986;255493
354;MOSS;CESAR;M;Montfort;EAPB;1987;255494
355;THORNTON;JOHNATHAN;M;Iffendic;;1988;
356;DENNIS;MALCOLM;M;Melesse;JA Melesse Athletisme;1989;255496
357;MCGEE;RUDOLPH;M;Bruz;;1990;
358;FARMER;DAMON;M;Saint Malo;CJF St Malo;1991;255498
359;DELGADO;KELVIN;M;Dinard;;1992;
360;AGUILAR;RUDY;M;Angers;Anjou Athletisme;1993;255500
361;VEGA;PRESTON;M;Brest;Stade Brestois;1994;255501
362;GLOVER;ALTON;M;Nantes;;1995;
363;MANNING;ARCHIE;M;Pace;SRA;1996;255503
364;COHEN;MARCO;M;Vern;;1997;
365;HARMON;WM ;M;Mordelles;;1998;
366;RODGERS;PETE;M;Saint Brieuc;ASPTT St Brieuc;1999;255506
367;ROBBINS;RANDOLPH;M;Paris;;2000;
368;NEWTON;GARRY;M;Chantepie;;1983;
369;TODD;GEOFFREY;M;Cesson Sevigne;Athletic club cessonais;1984;255509
370;BLAIR;JONATHON;M;Thorigne;;1985;
371;HIGGINS;FELIPE;M;Vezin;;1986;
372;INGRAM;BENNIE;M;Le Rheu;;1987;
373;REESE;GERARDO;M;Fougeres;ASPTT Fougeres;1988;255513
374;CANNON;ED ;M;Dinan;;1989;
375;STRICKLAND;DOMINIC;M;Pont Pean;;1990;
376;TOWNSEND;ROBIN;M;Pont Rean;;1991;
377;POTTER;LOREN;M;Chateaugiron;;1992;
378;GOODWIN;DELBERT;M;Rennes;SRA;1993;255518
379;WALTON;COLIN;M;Cesson Sevigne;;1994;
380;ROWE;GUILLERMO;M;Rennes;SRA;1995;255520
381;HAMPTON;EARNEST;M;Romille;;1996;
382;ORTEGA;LUCAS;M;Chateaubourg;;1997;
383;PATTON;BENNY;M;Nantes;Nantes Metropole Athletisme;1998;255523
384;SWANSON;NOEL;M;Paris;;1999;
385;JOSEPH;SPENCER;M;Saint Brieuc;;2000;
386;FRANCIS;RODOLFO;M;Brest;;1996;
387;GOODMAN;MYRON;M;Morlaix;;1997;
388;MALDONADO;EDMUND;M;Quimper;;1998;
389;YATES;GARRETT;M;Bruz;;1999;
390;BECKER;SALVATORE;M;Chartres de Bretagne;EACB;2000;255530
391;ERICKSON;CEDRIC;M;Chantepie;;1963;
392;HODGES;LOWELL;M;Saint Erblon;;1965;
393;RIOS;GREGG;M;La Meziere;;1969;
394;CONNER;SHERMAN;M;Montgermont;;1961;
395;ADKINS;WILSON;M;Bourgbarre;;1951;
396;WEBSTER;DEVIN;M;Orgeres;;1955;
397;NORMAN;SYLVESTER;M;Montfort;;1957;
398;MALONE;KIM;M;Iffendic;;1947;
399;HAMMOND;ROOSEVELT;M;Melesse;;1970;
400;FLOWERS;ISRAEL;M;Bruz;;1971;
401;COBB;JERMAINE;M;Saint Malo;;1972;
402;MOODY;FORREST;M;Dinard;;1973;
403;QUINN;WILBERT;M;Angers;;1974;
404;BLAKE;LELAND;M;Brest;;1975;
405;MAXWELL;SIMON;M;Nantes;;1975;
406;POPE;GUADALUPE;M;Pace;;1976;
407;FLOYD;CLARK;M;Vern;;1976;
408;OSBORNE;IRVING;M;Mordelles;;1977;
409;PAUL;CARROLL;M;Saint Brieuc;;1977;
410;MCCARTHY;BRYANT;M;Paris;Racing club;1978;255550
411;GUERRERO;OWEN;M;Chantepie;;1979;
412;LINDSEY;RUFUS;M;Cesson Sevigne;;1980;
413;ESTRADA;WOODROW;M;Thorigne;;1981;
414;SANDOVAL;SAMMY;M;Vezin;;1978;
415;GIBBS;KRISTOPHER;M;Le Rheu;;1979;
416;TYLER;MACK;M;Fougeres;;1980;
417;GROSS;LEVI;M;Dinan;;1981;
418;FITZGERALD;MARCOS;M;Pont Pean;;1982;
419;STOKES;GUSTAVO;M;Pont Rean;;1983;
420;DOYLE;JAKE;M;Chateaugiron;;1984;
421;SHERMAN;LIONEL;M;Rennes;EARTA;1985;255561
422;SAUNDERS;MARTY;M;Cesson Sevigne;;1986;
423;WISE;TAYLOR;M;Rennes;;1987;
424;COLON;ELLIS;M;Romille;;1988;
425;GILL;DALLAS;M;Chateaubourg;;1989;
426;ALVARADO;GILBERTO;M;Nantes;;1990;
427;GREER;CLINT;M;Paris;;1982;
428;PADILLA;NICOLAS;M;Saint Brieuc;;1983;
429;SIMON;LAURENCE;M;Brest;;1984;
430;WATERS;ISMAEL;M;Morlaix;;1985;
431;NUNEZ;ORVILLE;M;Quimper;ASPTT Quimper;1986;255571
432;BALLARD;DREW;M;Bruz;Bruz Athletisme;1987;255572
433;SCHWARTZ;JODY;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1988;255573
434;MCBRIDE;ERVIN;M;Chantepie;;1989;
435;HOUSTON;DEWEY;M;Saint Erblon;;1990;
436;CHRISTENSEN;AL ;M;La Meziere;Agile Talon;1991;255576
437;KLEIN;WILFRED;M;Montgermont;;1992;
438;PRATT;JOSH;M;Bourgbarre;;1993;
439;BRIGGS;HUGO;M;Orgeres;Jogging Loisir Orgeres;1994;255579
440;PARSONS;IGNACIO;M;Montfort;EAPB;1995;255580
441;MCLAUGHLIN;CALEB;M;Iffendic;;1996;
442;ZIMMERMAN;TOMAS;M;Melesse;JA Melesse Athletisme;1997;255582
443;FRENCH;SHELDON;M;Bruz;;1998;
444;BUCHANAN;ERICK;M;Saint Malo;CJF St Malo;1999;255584
445;MORAN;FRANKIE;M;Dinard;;2000;
446;COPELAND;STEWART;M;Angers;Anjou Athletisme;1983;255586
447;ROY;DOYLE;M;Brest;Stade Brestois;1984;255587
448;PITTMAN;DARREL;M;Nantes;;1985;
449;BRADY;ROGELIO;M;Pace;SRA;1986;255589
450;MCCORMICK;TERENCE;M;Vern;;1987;
451;HOLLOWAY;SANTIAGO;M;Mordelles;;1988;
452;BROCK;ALONZO;M;Saint Brieuc;ASPTT St Brieuc;1989;255592
453;POOLE;ELIAS;M;Paris;;1990;
454;FRANK;BERT;M;Chantepie;;1991;
455;LOGAN;ELBERT;M;Cesson Sevigne;Athletic club cessonais;1992;255595
456;OWEN;RAMIRO;M;Thorigne;;1993;
457;BASS;CONRAD;M;Vezin;;1994;
458;MARSH;PAT;M;Le Rheu;;1995;
459;DRAKE;NOAH;M;Fougeres;ASPTT Fougeres;1996;255599
460;WONG;GRADY;M;Dinan;;1997;
461;JEFFERSON;PHIL;M;Pont Pean;;1998;
462;PARK;CORNELIUS;M;Pont Rean;;1999;
463;MORTON;LAMAR;M;Chateaugiron;;2000;
464;ABBOTT;ROLANDO;M;Rennes;SRA;1996;255604
465;SPARKS;CLAY;M;Cesson Sevigne;;1997;
466;PATRICK;PERCY;M;Rennes;SRA;1998;255606
467;NORTON;DEXTER;M;Romille;;1999;
468;HUFF;BRADFORD;M;Chateaubourg;;2000;
469;CLAYTON;MERLE;M;Nantes;Nantes Metropole Athletisme;1963;255609
470;MASSEY;DARIN;M;Paris;;1965;
471;LLOYD;AMOS;M;Saint Brieuc;;1969;
472;FIGUEROA;TERRELL;M;Brest;;1961;
473;CARSON;MOSES;M;Morlaix;;1951;
474;BOWERS;IRVIN;M;Quimper;;1955;
475;ROBERSON;SAUL;M;Bruz;;1957;
476;BARTON;ROMAN;M;Chartres de Bretagne;EACB;1947;255616
477;TRAN;DARNELL;M;Chantepie;;1970;
478;LAMB;RANDAL;M;Saint Erblon;;1971;
479;HARRINGTON;TOMMIE;M;La Meziere;;1972;
